ID,ID2,Item Title,Final URL,Image URL,Item Subtitle,Item Description,Item Category,Price
"Chevrolet Cruze","1G1PE5SB9F7283759","2015 Chevrolet Cruze","http://www.capitolchevy.com/VehicleDetails/certified-2015-Chevrolet-Cruze-Sedan_2LT_%28Automatic%29-Austin-TX/2967101693","http://inventory-dmg.assets-cdk.com/8/8/7/14253776788.jpg","Cruze","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","19000 USD"
"Chevrolet Cruze","1G1PE5SBXF7223604","2015 Chevrolet Cruze","http://www.capitolchevy.com/VehicleDetails/certified-2015-Chevrolet-Cruze-Sedan_2LT_%28Automatic%29-Austin-TX/2973248513","http://inventory-dmg.assets-cdk.com/4/3/9/14398638934.jpg","Cruze","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","16000 USD"
"Chevrolet Cruze","1G1PG5SB4F7294274","2015 Chevrolet Cruze","http://www.capitolchevy.com/VehicleDetails/certified-2015-Chevrolet-Cruze-Sedan_LTZ-Austin-TX/2963508233","http://inventory-dmg.assets-cdk.com/5/0/4/14246989405.jpg","Cruze","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","20000 USD"
"Chevrolet Cruze","1G1PG5SB4F7173390","2015 Chevrolet Cruze","http://www.capitolchevy.com/VehicleDetails/certified-2015-Chevrolet-Cruze-Sedan_LTZ-Austin-TX/2973248533","http://inventory-dmg.assets-cdk.com/6/2/8/14336111826.jpg","Cruze","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","18000 USD"
"Chevrolet Impala","2G1WC5E34F1158641","2015 Chevrolet Impala","http://www.capitolchevy.com/VehicleDetails/certified-2015-Chevrolet-Impala_Limited-LTZ-Austin-TX/2973248553","http://inventory-dmg.assets-cdk.com/5/1/0/14365839015.jpg","Impala","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","17000 USD"
"Chevrolet Silverado","3GCPCSEC9FG418100","2015 Chevrolet Silverado","http://www.capitolchevy.com/VehicleDetails/certified-2015-Chevrolet-Silverado_1500-Crew_Cab_Short_Box_2_Wheel_Drive_LTZ-Austin-TX/2973006593","http://inventory-dmg.assets-cdk.com/5/4/1/14269544145.jpg","Silverado","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","38000 USD"
"Chevrolet Spark","KL8CB6S97FC720756","2015 Chevrolet Spark","http://www.capitolchevy.com/VehicleDetails/certified-2015-Chevrolet-Spark-Hatch_LS_%28Automatic%29-Austin-TX/2977415983","http://inventory-dmg.assets-cdk.com/7/6/8/14309899867.jpg","Spark","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","12000 USD"
"Chevrolet Suburban","1GNSCJKC0FR211255","2015 Chevrolet Suburban","http://www.capitolchevy.com/VehicleDetails/certified-2015-Chevrolet-Suburban-2WD_LT-Austin-TX/2974658463","http://inventory-dmg.assets-cdk.com/1/9/9/14336109991.jpg","Suburban","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","40000 USD"
"GMC Sierra","3GTP1VEC3FG144206","2015 GMC Sierra","http://www.capitolchevy.com/VehicleDetails/certified-2015-GMC-Sierra_1500-Crew_Cab_Short_Box_2_Wheel_Drive_SLT-Austin-TX/2964705193","http://inventory-dmg.assets-cdk.com/0/6/4/14255472460.jpg","Sierra","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","36000 USD"
"Buick Verano","1G4PR5SKXG4110603","2016 Buick Verano","http://www.capitolchevy.com/VehicleDetails/certified-2016-Buick-Verano-4dr_Sdn_Convenience_Group-Austin-TX/2982974473","http://inventory-dmg.assets-cdk.com/3/5/9/14392786953.jpg","Verano","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","20000 USD"
"Chevrolet Camaro","1G1FH1R75G0159012","2016 Chevrolet Camaro","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Camaro-2dr_Cpe_2SS-Austin-TX/2974658753","http://inventory-dmg.assets-cdk.com/3/2/3/14356839323.jpg","Camaro","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","38000 USD"
"Chevrolet Colorado","1GCGTCE39G1266194","2016 Chevrolet Colorado","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Colorado-Crew_Cab_Short_Box_4_Wheel_Drive_LT-Austin-TX/2975311363","http://inventory-dmg.assets-cdk.com/0/7/6/14287498670.jpg","Colorado","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","33000 USD"
"Chevrolet Cruze","1G1BC5SM6G7252942","2016 Chevrolet Cruze","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Cruze-Sedan_LS_%28Automatic%29-Austin-TX/2967101663","http://inventory-dmg.assets-cdk.com/7/7/2/14255474277.jpg","Cruze","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","18000 USD"
"Chevrolet Cruze","1G1BC5SM6G7263097","2016 Chevrolet Cruze","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Cruze-Sedan_LS_%28Automatic%29-Austin-TX/2971788583","http://inventory-dmg.assets-cdk.com/9/6/9/14261003969.jpg","Cruze","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","16000 USD"
"Chevrolet Cruze","1G1BE5SM7G7321017","2016 Chevrolet Cruze","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Cruze-Sedan_LT_%28Automatic%29-Austin-TX/2950557883","http://inventory-dmg.assets-cdk.com/7/1/0/14101856017.jpg","Cruze","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","16000 USD"
"Chevrolet Cruze","1G1BE5SM3G7314159","2016 Chevrolet Cruze","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Cruze-Sedan_LT_%28Automatic%29-Austin-TX/2956794423","http://inventory-dmg.assets-cdk.com/2/7/9/14147311972.jpg","Cruze","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","16000 USD"
"Chevrolet Equinox","2GNALCEK3G6266970","2016 Chevrolet Equinox","http://www.capitolchevy.com/VehicleDetails/certified-2016-Chevrolet-Equinox-FWD_LT-Austin-TX/2967101793","http://inventory-dmg.assets-cdk.com/0/3/0/14243928030.jpg","Equinox","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","24000 USD"
